Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
Aby byly údaje o přenosové rychlosti objektivně srovnatelné , vydala mezinárodní normalizační organizace CCITT normalizovaný dopis na formátu A 4 , který se přenáší při laboratorních zkouškách nejvyšší rychlostí , jaké je přístroj schopen .	Aby by @@l @@y ú @@daj @@e o pře @@nos @@ov @@é rychl @@ost @@i ob @@jekt @@iv @@n @@ě s @@rovn @@a @@teln @@é , vy @@d @@a @@l @@a mezi @@ná @@rod @@n @@í norm @@al @@iz @@ač @@n @@í organ @@iz @@ac @@e CCITT norm @@al @@iz @@ova @@n @@ý do @@pis na form @@át @@u A 4 , kter @@ý s @@e pře @@náš @@í při labor @@ator @@n @@ích z @@kouš @@k @@ách nej @@vyš @@š @@í rychl @@ost @@í , jak @@é je pří @@stroj s @@chop @@en .
Výsledek , doba přenosu normalizované stránky v ideálních podmínkách , je pak uváděn v prospektech .	Vý @@sled @@ek , dob @@a pře @@nos @@u norm @@al @@iz @@ova @@n @@é strán @@k @@y v ideál @@n @@í @@ch pod @@mín @@k @@ách , je pak u @@vád @@ě @@n v pro @@spekt @@ech .
V běžném provozu však telefonní linky nemají takovou kvalitu jako v laboratoři .	V běž @@n @@ém pro @@voz @@u však tele @@fon @@n @@í lin @@k @@y ne @@m @@aj @@í tak @@ov @@ou kval @@it @@u jako v labor @@at @@oř @@i .
S tím ale konstruktéři počítali a všechny přístroje po navázání spojení testují jeho kvalitu .	S t @@ím ale kon @@strukt @@éř @@i po @@čít @@a @@l @@i a vš @@ech @@n @@y pří @@stroj @@e po na @@váz @@á @@n @@í s @@poj @@en @@í test @@uj @@í je @@ho kval @@it @@u .
Pokud test neproběhne bezchybně , snižují rychlost přenosu tak dlouho , až test proběhne správně .	Po @@k @@ud test ne @@pro @@běh @@ne bez @@chyb @@n @@ě , s @@niž @@uj @@í rychl @@ost pře @@nos @@u tak dlouh @@o , až test pro @@běh @@ne s @@práv @@n @@ě .
Přesto se i potom může stát , že náhodné , chvilkové rušení na lince poruší předávanou zprávu až k nečitelnosti .	Přes @@t @@o s @@e i po @@t @@o @@m můž @@e stá @@t , že ná @@hod @@n @@é , chvil @@k @@ov @@é ruš @@en @@í na lin @@c @@e po @@ruš @@í pře @@d @@á @@v @@an @@ou z @@práv @@u až k ne @@čit @@eln @@ost @@i .
Proto se vyplatí dát o něco víc peněz za přístroj , který pracuje v samoopravném režimu ECM - Error Correction Mode .	Pro @@t @@o s @@e vy @@plat @@í d @@á @@t o ně @@c @@o víc peněz za pří @@stroj , kter @@ý prac @@uje v sam @@o @@o @@prav @@n @@ém režim @@u E @@C @@M - Error Correct @@ion Mode .
Přístroje , vybavené touto funkcí , člení předávanou zprávu na bloky , obvykle jednotlivé řádky , a v případě rušení na lince opakují přenos porušených bloků tak dlouho , až jsou všechna data předána správně .	Pří @@stroj @@e , vy @@bav @@en @@é t @@ou @@to funkc @@í , člen @@í pře @@d @@á @@v @@an @@ou z @@práv @@u na blok @@y , ob @@vyk @@l @@e jedn @@ot @@l @@iv @@é řád @@k @@y , a v pří @@pad @@ě ruš @@en @@í na lin @@c @@e o @@pak @@uj @@í pře @@nos po @@ruš @@en @@ých blok @@ů tak dlouh @@o , až js @@ou vš @@e @@ch @@n @@a dat @@a pře @@d @@á @@n @@a s @@práv @@n @@ě .
Vynaložené peníze se vám brzo vrátí v úspoře poplatků za telefonáty , kterými žádáte odesílatele o opakované zaslání faxu , protože ten , který jste právě dostali , je nečitelný .	Vy @@na @@lož @@en @@é peníz @@e s @@e v @@á @@m brz @@o vrát @@í v ú @@spoř @@e po @@plat @@k @@ů za tele @@fon @@át @@y , kter @@ý @@m @@i žád @@á @@te ode @@síl @@a @@tel @@e o o @@pak @@ova @@n @@é za @@sl @@á @@n @@í fax @@u , pro @@t @@o @@že t @@en , kter @@ý js @@te práv @@ě do @@sta @@l @@i , je ne @@čit @@eln @@ý .
Uvedené činnosti faxovacích přístrojů výslednou rychlost přenosu samozřejmě snižují , ale i tak zůstává fax velmi rychlým pojítkem .	U @@ved @@en @@é čin @@n @@ost @@i fax @@ova @@c @@ích pří @@stroj @@ů vý @@sled @@n @@ou rychl @@ost pře @@nos @@u sam @@o @@zř @@ejm @@ě s @@niž @@uj @@í , ale i tak zů @@stá @@v @@á fax velmi rychl @@ý @@m poj @@í @@tk @@em .
Stalo se mi , že při jednání potřeboval můj partner nahlédnout do dokumentu , který měl u sebe jeho kolega , sedící ve stejné budově , jenže o dvě patra níže .	Sta @@l @@o s @@e m @@i , že při jedn @@á @@n @@í po @@třeb @@ova @@l m @@ůj partner na @@hléd @@nou @@t do dokument @@u , kter @@ý m @@ě @@l u s @@eb @@e je @@ho koleg @@a , sed @@í @@c @@í ve stej @@n @@é budov @@ě , jen @@že o dv @@ě patr @@a níž @@e .
Telefonicky jej požádal , aby mu dokument poslal .	Tele @@fon @@ick @@y j @@e @@j po @@žád @@a @@l , aby mu dokument po @@sl @@a @@l .
Očekával jsem , že přiběhne dívenka s papírem , ale můj partner považoval za zcela přirozené , že dokument začal vystupovat z faxu , který měl u sebe na stole .	O @@ček @@á @@v @@a @@l js @@em , že při @@běh @@ne dív @@enk @@a s papír @@em , ale m @@ůj partner po @@važ @@ova @@l za z @@cel @@a při @@roz @@en @@é , že dokument za @@č @@a @@l vy @@stup @@ova @@t z fax @@u , kter @@ý m @@ě @@l u s @@eb @@e na stol @@e .
Zřejmě si v té organizaci cenili času pracovníků více , než je u nás zatím zvykem .	Zř @@ejm @@ě s @@i v t @@é organ @@iz @@ac @@i cen @@i @@l @@i čas @@u prac @@ov @@ník @@ů více , než je u n @@á @@s za @@t @@ím z @@vyk @@em .
Na druhé straně je však nutné při vybírání faxu uvažovat nejen o telefonních poplatcích za časové impulsy , ale i o nákladech na provozní materiál .	Na druh @@é stran @@ě je však nut @@n @@é při vy @@bír @@á @@n @@í fax @@u u @@važ @@ova @@t ne @@jen o tele @@fon @@n @@ích po @@plat @@c @@ích za čas @@ov @@é im @@puls @@y , ale i o ná @@klad @@ech na pro @@voz @@n @@í mater @@i @@ál .
Podstatná část přístrojů tiskne metodou termozáznamu na teplocitlivý papír .	Pod @@sta @@t @@n @@á část pří @@stroj @@ů tisk @@ne metod @@ou term @@o @@zá @@znam @@u na tep @@l @@o @@cit @@liv @@ý papír .
Jeden formát A 4 teplocitlivého papíru stojí asi 95 haléřů , pokud je nakupován v rolích 30 , 50 nebo 100 m .	Jeden form @@át A 4 tep @@l @@o @@cit @@liv @@ého papír @@u st @@oj @@í asi 95 haléř @@ů , po @@k @@ud je na @@kup @@ová @@n v rol @@ích 30 , 50 nebo 100 m .
V kratších délkách je asi o 30 % dražší , a proto se při nákupu faxovacího přístroje zajímejte i o to , jakou délku papíru používá .	V krat @@š @@ích dél @@k @@ách je asi o 30 % draž @@š @@í , a pro @@t @@o s @@e při ná @@kup @@u fax @@ova @@c @@ího pří @@stroj @@e za @@jím @@ej @@te i o t @@o , jak @@ou dél @@k @@u papír @@u po @@u @@ží @@v @@á .
Převážná část přístrojů je seřízena na role o délce 30 m .	Pře @@váž @@n @@á část pří @@stroj @@ů je se @@říz @@en @@a na rol @@e o dél @@c @@e 30 m .
Nectností termocitlivého papíru je jeho choulostivost na podmínky ukládání .	Ne @@ctn @@ost @@í term @@o @@cit @@liv @@ého papír @@u je je @@ho choul @@ost @@iv @@ost na pod @@mín @@k @@y u @@klád @@á @@n @@í .
Zejména nesnáší velké teplo .	Ze @@jmén @@a ne @@s @@náš @@í vel @@k @@é tep @@l @@o .
Může se vám například stát , že v autě , které stojí v létě na slunci , se za hodinu stanou faxy nečitelné .	Můž @@e s @@e v @@á @@m na @@pří @@klad stá @@t , že v aut @@ě , kter @@é st @@oj @@í v lét @@ě na slunc @@i , s @@e za hod @@in @@u sta @@n @@ou fax @@y ne @@čit @@eln @@é .
Ale i při pečlivém uložení v normální pokojové teplotě poměrně brzy klesá jejich čitelnost .	Ale i při peč @@liv @@ém u @@lož @@en @@í v norm @@ál @@n @@í pokoj @@ov @@é tep @@l @@ot @@ě po @@měr @@n @@ě brzy kles @@á je @@j @@i @@ch čit @@eln @@ost .
Toto nebezpečí nehrozí , pokud si pořídíte přístroj , obvykle dosti dražší , který používá tisku BUBBLE - JET nebo INK JET a tiskne na normální nebo xeroxový papír .	T @@o @@t @@o ne @@bezpeč @@í ne @@hroz @@í , po @@k @@ud s @@i po @@říd @@í @@te pří @@stroj , ob @@vyk @@l @@e dost @@i draž @@š @@í , kter @@ý po @@u @@ží @@v @@á tisk @@u BUBBLE - JE @@T nebo INK JE @@T a tisk @@ne na norm @@ál @@n @@í nebo xerox @@ov @@ý papír .
Jeden arch takového papíru stojí necelých dvacet haléřů , ale zase musíte počítat s tím , že jedna vložka do tiskárny INK JET , s náplní na vytištění přibližně 3000 stran , stojí od 1000 Kč výše .	Jeden arch tak @@ov @@é @@ho papír @@u st @@oj @@í ne @@cel @@ých dv @@a @@cet haléř @@ů , ale zase mus @@í @@te po @@čít @@a @@t s t @@ím , že jedn @@a v @@lož @@k @@a do tisk @@árn @@y INK JE @@T , s ná @@pln @@í na vy @@tišt @@ěn @@í při @@bliž @@n @@ě 3000 stran , st @@oj @@í od 1000 K @@č výš @@e .
V přístrojích , které používají xeroxový princip tisku , někdy označovaný jako laserový , se také používá xeroxový papír , ale výměnné kazety stojí čtyři až deset tisíc Kč .	V pří @@stroj @@ích , kter @@é pou @@ží @@v @@aj @@í xerox @@ov @@ý princip tisk @@u , ně @@kd @@y o @@znač @@ova @@n @@ý jako laser @@ov @@ý , s @@e také po @@u @@ží @@v @@á xerox @@ov @@ý papír , ale vý @@měn @@n @@é kazet @@y st @@oj @@í čtyř @@i až deset tisíc K @@č .
Počet kopií z jedné kazety se pohybuje kolem 9 až 10 tisíc .	Po @@čet kop @@i @@í z jedn @@é kazet @@y s @@e po @@hyb @@uje kol @@em 9 až 10 tisíc .
Kvalita tisku každého uvedeného způsobu je však značně lepší než u termálních tiskáren a trvanlivost dokumentů je prakticky při správném uložení neomezená .	Kval @@it @@a tisk @@u každ @@é @@ho u @@ved @@en @@ého z @@pů @@sob @@u je však znač @@n @@ě lep @@š @@í než u term @@ál @@n @@ích tisk @@ár @@en a trv @@a @@nliv @@ost doku @@ment @@ů je prakt @@ic @@k @@y při s @@práv @@n @@ém u @@lož @@en @@í ne @@o @@mez @@en @@á .
Většinu těchto přístrojů lze také používat _ nejen jako fax , ale současně i jako výkonnou kopírku , a to i souběžně s přijímáním faxových zpráv , které jsou během kopírování ukládány do paměti .	Vět @@š @@in @@u t @@ě @@ch @@t @@o pří @@stroj @@ů lze také po @@u @@ží @@v @@a @@t _ ne @@jen jako fax , ale sou @@čas @@n @@ě i jako vý @@kon @@n @@ou kop @@ír @@k @@u , a t @@o i sou @@běž @@n @@ě s při @@jím @@á @@n @@ím fax @@ov @@ých z @@práv , kter @@é js @@ou běh @@em kop @@ír @@ová @@n @@í u @@klád @@á @@n @@y do pamět @@i .
V současné době je avizován nástup nových technologií tisku ve faxových přístrojích .	V sou @@čas @@n @@é dob @@ě je aviz @@ová @@n ná @@stup nov @@ých techn @@o @@log @@i @@í tisk @@u ve fax @@ov @@ých pří @@stroj @@ích .
Mají umožnit s jednou náplní toneru zhotovit asi 30000 kopií a výměna tiskové kazety by byla prováděna asi po 60000 kopiích .	M @@aj @@í u @@mož @@n @@i @@t s jedn @@ou ná @@pln @@í toner @@u z @@hotov @@i @@t asi 30000 kop @@i @@í a vý @@měn @@a tisk @@ov @@é kazet @@y by by @@l @@a pro @@vád @@ě @@n @@a asi po 60000 kop @@i @@ích .
Cena tisku za jednu stránku by měla klesnout zhruba na jednu třetinu ceny tisku laserových tiskáren .	Cen @@a tisk @@u za jedn @@u strán @@k @@u by m @@ě @@l @@a kles @@nou @@t z @@hrub @@a na jedn @@u tř @@et @@in @@u cen @@y tisk @@u laser @@ov @@ých tisk @@ár @@en .
Tyto přístroje by se měly objevit i na našem trhu během krátké doby , ale zatím v prodeji nejsou a není ani stanovena cena .	T @@y @@t @@o pří @@stroj @@e by s @@e m @@ě @@l @@y ob @@jev @@i @@t i na n @@a @@š @@e @@m trh @@u běh @@em krát @@k @@é dob @@y , ale za @@t @@ím v pro @@d @@ej @@i ne @@js @@ou a není ani stanov @@en @@a cen @@a .
Pro některé skupiny uživatelů má dobrá kvalita faxem zasílaných fotografií , výkresů apod . značný význam .	Pro ně @@kter @@é s @@kup @@in @@y u @@ži @@v @@a @@tel @@ů m @@á dobr @@á kval @@it @@a fax @@em za @@síl @@a @@n @@ých foto @@graf @@i @@í , vý @@kres @@ů a @@pod . znač @@n @@ý vý @@znam .
Proto si při výběru přístroje musí více všímat jeho grafických vlastností .	Pro @@t @@o s @@i při vý @@běr @@u pří @@stroj @@e mus @@í více vším @@a @@t je @@ho graf @@ic @@k @@ých vlast @@n @@ost @@í .
Pro popis těchto vlastností je zavedeno několik pojmů , a to :	Pro po @@pis t @@ě @@ch @@t @@o vlast @@n @@ost @@í je za @@ved @@en @@o ně @@kolik po @@jm @@ů , a t @@o :
* Počet stupňů šedi .	* Po @@čet stup @@ň @@ů šed @@i .
Běžně je jich k dispozici 16 .	Běž @@ně je j @@i @@ch k dis @@pozic @@i 16 .
Větší počet stupňů šedi využijete jen při přenosu fotografií .	Vět @@š @@í po @@čet stup @@ň @@ů šed @@i vy @@u @@ži @@j @@e @@te jen při pře @@nos @@u foto @@graf @@i @@í .
Pokud se přenáší pouze písmo , nemá tento parametr valný význam .	Po @@k @@ud s @@e pře @@náš @@í pouz @@e písm @@o , ne @@m @@á t @@en @@t @@o parametr val @@n @@ý vý @@znam .
Kromě toho skutečný počet stupňů šedi určuje vždy ten z propojených přístrojů , který má stupňů méně .	Krom @@ě t @@o @@ho skuteč @@n @@ý po @@čet stup @@ň @@ů šed @@i urč @@uje vždy t @@en z pro @@poj @@en @@ých pří @@stroj @@ů , kter @@ý m @@á stup @@ň @@ů mén @@ě .
* Řízení kontrastu .	* Říz @@en @@í kontrast @@u .
Zlepšuje čitelnost i méně ostrých předloh .	Z @@lep @@š @@uje čit @@eln @@ost i mén @@ě ostr @@ých před @@loh .
To je užitečná funkce .	T @@o je u @@žit @@eč @@n @@á funkc @@e .
Některé přístroje si řídí kontrast automaticky , na jiných je ovládán manuálně .	Ně @@kter @@é pří @@stroj @@e s @@i říd @@í kontrast auto @@mat @@ic @@k @@y , na jin @@ý @@ch je o @@vlád @@á @@n manu @@ál @@n @@ě .
* Rozlišovací schopnost .	* Roz @@liš @@ova @@c @@í s @@chop @@n @@ost .
Udává , na kolik linek se dělí vertikálně , to je ve směru pohybu papíru , jeden mm přenášené předlohy .	U @@d @@á @@v @@á , na kolik lin @@ek s @@e děl @@í vertik @@ál @@n @@ě , t @@o je ve s @@měr @@u po @@hyb @@u papír @@u , jeden mm pře @@náš @@e @@n @@é před @@loh @@y .
Standardní rozlišení je 3.85 linek na mm _ , jemné 7.7 linek na mm .	Standard @@n @@í roz @@liš @@en @@í je 3.85 lin @@ek na mm _ , jemn @@é 7.7 lin @@ek na mm .
Velmi jemné rozlišení , 15.4 linek na mm , obsahují jen některé přístroje .	Velmi jemn @@é roz @@liš @@en @@í , 15.4 lin @@ek na mm , ob @@sah @@uj @@í jen ně @@kter @@é pří @@stroj @@e .
Horizontální rozklad je vždy 8 bodů na mm .	Horizont @@ál @@n @@í roz @@klad je vždy 8 bod @@ů na mm .
Stupeň použité rozlišovací schopnosti výrazně ovlivňuje čitelnost textu a fotografií , ale také zpomaluje přenos .	Stup @@eň po @@u @@ži @@t @@é roz @@liš @@ova @@c @@í s @@chop @@n @@ost @@i vý @@raz @@n @@ě o @@vliv @@ň @@uje čit @@eln @@ost text @@u a foto @@graf @@i @@í , ale také z @@pomal @@uje pře @@nos .
Pokud se pracuje pouze s přenosem textů , pak jsou zcela postačující dva stupně rozlišení .	Po @@k @@ud s @@e prac @@uje pouz @@e s pře @@nos @@em text @@ů , pak js @@ou z @@cel @@a po @@stač @@uj @@íc @@í dv @@a stup @@n @@ě roz @@liš @@en @@í .
Přibývá podnikatelů , kteří nemají samostatnou kancelář a podnikají doma .	Při @@bý @@v @@á pod @@nik @@a @@tel @@ů , kteř @@í ne @@m @@aj @@í sam @@o @@stat @@n @@ou kancelář a pod @@nik @@aj @@í dom @@a .
Malé organizace mají problémy se získáním telefonních linek , a tak mají na jedné telefonní lince připojen jak fax , tak i telefon .	Mal @@é organ @@iz @@ac @@e m @@aj @@í problém @@y s @@e získ @@á @@n @@ím tele @@fon @@n @@ích lin @@ek , a tak m @@aj @@í na jedn @@é tele @@fon @@n @@í lin @@c @@e při @@poj @@en jak fax , tak i telefon .
Pro tyto situace je lepší si pořídit fax , kombinovaný s telefonem .	Pro t @@y @@t @@o situ @@ac @@e je lep @@š @@í s @@i po @@říd @@i @@t fax , kombin @@ova @@n @@ý s tele @@fon @@em .
Všechny kombinované přístroje rozeznají , zda volá telefon , nebo fax .	Vš @@ech @@n @@y kombin @@ova @@n @@é pří @@stroj @@e roze @@zn @@aj @@í , zda vol @@á telefon , nebo fax .
Některé dokonce lidskou řečí požádají volajícího o posečkání , než provedou příslušnou identifikaci .	Ně @@kter @@é do @@konc @@e lid @@sk @@ou řeč @@í po @@žád @@aj @@í vol @@aj @@íc @@ího o po @@se @@čk @@á @@n @@í , než pro @@ved @@ou pří @@sluš @@n @@ou identi @@fik @@ac @@i .
Velmi užitečná je možnost připojení telefonního záznamníku , proto si při nákupu tuto možnost ověřte .	Velmi u @@žit @@eč @@n @@á je mož @@n @@ost při @@poj @@en @@í tele @@fon @@n @@í @@ho zá @@znam @@ník @@u , pro @@t @@o s @@i při ná @@kup @@u t @@u @@t @@o mož @@n @@ost o @@věř @@te .
K dostání jsou i trojkombinace : fax , telefon a záznamník .	K do @@stá @@n @@í js @@ou i tr @@oj @@kombin @@ac @@e : fax , telefon a zá @@znamn @@ík .
Poněkud vyšší cena kombinovaných přístrojů by vás neměla odradit .	Po @@ně @@kud vyš @@š @@í cen @@a kombin @@ova @@n @@ých pří @@stroj @@ů by v @@á @@s ne @@m @@ě @@l @@a od @@rad @@i @@t .
Ztráty , vznikající proto , že se k vám nemůže nikdo telefonicky dovolat , protože jste omylem nechali zapnutý fax , mohou být mnohem větší .	Z @@trát @@y , vz @@nik @@aj @@í @@c @@í pro @@t @@o , že s @@e k v @@á @@m ne @@můž @@e ni @@kd @@o tele @@fon @@ick @@y do @@vol @@a @@t , pro @@t @@o @@že js @@te o @@myl @@e @@m nech @@a @@l @@i za @@p @@nu @@t @@ý fax , moh @@ou bý @@t mnoh @@e @@m vět @@š @@í .
Některé přístroje jsou vybaveny velmi užitečnou funkcí , která se nazývá odložené vysílání .	Ně @@kter @@é pří @@stroj @@e js @@ou vy @@bav @@en @@y velmi u @@ži @@t @@eč @@n @@ou funkc @@í , kter @@á s @@e na @@zýv @@á od @@lož @@en @@é vy @@síl @@á @@n @@í .
Tato funkce umožňuje do paměti nahrát vysílané předlohy a nastavit čísla příjemců i čas , kdy má být provedeno spojení a vyslání zpráv .	T @@a @@t @@o funkc @@e u @@mož @@ň @@uje do pamět @@i na @@hrá @@t vy @@síl @@a @@n @@é před @@loh @@y a na @@stav @@i @@t čísl @@a pří @@jem @@c @@ů i čas , kdy m @@á bý @@t pro @@ved @@en @@o s @@poj @@en @@í a vy @@sl @@á @@n @@í z @@práv .
Přístroj je pak vyšle i ve vaší nepřítomnosti .	Pří @@stroj je pak vy @@šl @@e i ve v @@a @@š @@í ne @@pří @@t @@om @@n @@ost @@i .
Umožňuje to využít k vysílání dobu , kdy se platí nižší poplatky za impulz , například v noci .	U @@mož @@ň @@uje t @@o vy @@u @@ží @@t k vy @@síl @@á @@n @@í dob @@u , kdy s @@e plat @@í niž @@š @@í po @@plat @@k @@y za im @@pulz , na @@pří @@klad v noc @@i .
Když jsme připravovali tuto stránku , upozornili jsme všechny kontaktované firmy , že potřebujeme podklady jen k zařízením , která byla schválena , homologována , pro naši telekomunikační síť .	Když js @@me při @@prav @@ova @@l @@i t @@u @@t @@o strán @@k @@u , u @@po @@zor @@n @@i @@l @@i js @@me vš @@ech @@n @@y kon @@takt @@ova @@n @@é firm @@y , že po @@třeb @@uje @@me pod @@klad @@y jen k za @@říz @@en @@ím , kter @@á by @@l @@a s @@chvál @@en @@a , homo @@log @@ová @@n @@a , pro n @@a @@š @@i tele @@komun @@ik @@ač @@n @@í síť .
Přesto nám dvě zastoupení renomovaných firem , zřejmě z neznalosti , předala podklady na neschválená zařízení .	Přes @@t @@o n @@á @@m dv @@ě za @@stoup @@en @@í renom @@ova @@n @@ých firem , zř @@ejm @@ě z ne @@zn @@a @@l @@ost @@i , pře @@d @@a @@l @@a pod @@klad @@y na ne @@s @@chvál @@en @@á za @@říz @@en @@í .
Dávejte si na tuto věc při nákupu pozor .	D @@á @@v @@ej @@te s @@i na t @@u @@t @@o věc při ná @@kup @@u po @@zor .
Prodávající vám musí dát kromě návodu k obsluze v češtině také kopii schvalovacího dokumentu , opatřenou razítkem prodejny , datem prodeje a podpisem prodávajícího .	Pro @@d @@á @@v @@aj @@íc @@í v @@á @@m mus @@í d @@á @@t krom @@ě ná @@vod @@u k ob @@sluz @@e v češ @@t @@in @@ě také kop @@i @@i s @@chval @@ova @@c @@ího dokument @@u , o @@patř @@en @@ou raz @@í @@tk @@em pro @@d @@ej @@n @@y , dat @@em pro @@d @@ej @@e a pod @@pis @@em pro @@d @@á @@v @@aj @@íc @@ího .
Bez tohoto dokladu vám spoje ani firma s licencí přístroj nepřipojí .	Bez t @@o @@ho @@t @@o do @@klad @@u v @@á @@m s @@poj @@e ani firm @@a s licenc @@í pří @@stroj ne @@při @@poj @@í .
Schvalovací značka čs . spojů musí být umístěna i na výrobku .	S @@chval @@ova @@c @@í znač @@k @@a č @@s . s @@poj @@ů mus @@í bý @@t u @@míst @@ěn @@a i na vý @@rob @@k @@u .
Nekupujte zařízení v zahraničí , ani nepoužívejte zařízení darovaná nebo zapůjčená vašimi obchodními partnery , pokud nebyla prokazatelně schválena pro připojení k telekomunikační síti České republiky .	Ne @@kup @@uj @@te za @@říz @@en @@í v za @@hran @@ič @@í , ani ne @@po @@u @@ží @@v @@ej @@te za @@říz @@en @@í dar @@ova @@n @@á nebo za @@půjč @@en @@á v @@a @@š @@i @@m @@i ob @@chod @@n @@ími partner @@y , po @@k @@ud ne @@by @@l @@a pro @@kaz @@a @@teln @@ě s @@chvál @@en @@a pro při @@poj @@en @@í k tele @@komun @@ik @@ač @@n @@í sít @@i Čes @@k @@é republik @@y .
Uvědomte si , že odpovídáte za škody , které mohou provozováním neschváleného zařízení vzniknout .	U @@věd @@om @@te s @@i , že od @@po @@víd @@á @@te za škod @@y , kter @@é moh @@ou pro @@voz @@ová @@n @@ím ne @@s @@chvál @@en @@ého za @@říz @@en @@í vz @@nik @@nou @@t .
Ve východních Čechách proběhl nedávno soudní spor o náhradu škody , která byla způsobena tím , že se po úderu blesku vzňal fax , dovezený ze zahraničí , který nebyl u nás schválen .	Ve vý @@chod @@n @@ích Čech @@ách pro @@běh @@l ne @@dávn @@o soud @@n @@í s @@por o ná @@hrad @@u škod @@y , kter @@á by @@l @@a z @@pů @@sob @@en @@a t @@ím , že s @@e po ú @@der @@u blesk @@u vz @@ň @@a @@l fax , do @@vez @@en @@ý ze za @@hran @@ič @@í , kter @@ý ne @@by @@l u n @@á @@s s @@chvál @@en .
Přístroj měl špatnou ochranu proti elektrickému přepětí a nadproudu a od něho vyhořel celý dům .	Pří @@stroj m @@ě @@l špat @@n @@ou o @@chran @@u proti elektr @@ic @@k @@ému pře @@p @@ě @@t @@í a nad @@proud @@u a od n @@ě @@ho vy @@hoř @@e @@l cel @@ý dům .
Fax smí instalovat a udržovat jen firmy s příslušnou licencí .	Fax sm @@í instal @@ova @@t a u @@drž @@ova @@t jen firm @@y s pří @@sluš @@n @@ou licenc @@í .
