abbé	abb @@é
aplaudovat	aplaud @@ova @@t
aplikaci	aplik @@ac @@i
aplikována	a @@plik @@ová @@n @@a
apod	a @@pod
apologetiky	apologet @@ik @@y
aportovat	a @@port @@ova @@t
apostrofovat	apo @@strof @@ova @@t
apretovat	apret @@ova @@t
apriorismem	aprior @@ism @@em
apriorní	aprior @@n @@í
apriorních	aprior @@n @@ích
aprobovat	a @@prob @@ova @@t
aprovizovat	a @@prov @@iz @@ova @@t
aprovizovávaně	a @@pro @@viz @@ová @@v @@a @@n @@ě
aqua	aqua
ara	ara
arab	arab
araba	arab @@a
arabovi	arab @@ovi
arabskou	arab @@sk @@ou
arabský	arab @@sk @@ý
arabskými	arab @@sk @@ými
aranžovat	aranž @@ova @@t
aranžérův	aranž @@ér @@ův
arch	arch
archaizovat	arch @@a @@iz @@ova @@t
architekt	archi @@tekt
arcibiskup	arci @@biskup
arcilotras	arci @@lotr @@as
arenelle	arenelle
aretovat	aret @@ova @@t
argument	argument
aristokratismu	aristo @@krat @@ism @@u
aristotela	aristotel @@a
arizovat	ar @@iz @@ova @@t
armovat	arm @@ova @@t
armstrong	armstrong
armén	armén
arméni	armén @@i
arménie	armén @@i @@e
arménovi	armén @@ovi
arménský	armén @@sk @@ý
arnhem	arnhem
arnošt	arnošt
aromatizovat	arom @@at @@iz @@ova @@t
artikulovat	artikul @@ova @@t
asanovat	a @@san @@ova @@t
asfaltovat	asfalt @@ova @@t
asfaltovou	asfalt @@ov @@ou
asfaltový	asfalt @@ov @@ý
asi	asi
asimilovat	a @@simil @@ova @@t
asimilovati	a @@simil @@ova @@ti
asimilovány	a @@simil @@ová @@n @@y
asistentka	asist @@ent @@k @@a
asistovat	asist @@ova @@t
asociace	a @@soci @@ac @@e
asociovat	a @@soci @@ova @@t
aspektu	a @@spekt @@u
aspekty	a @@spekt @@y
aspirovat	a @@spir @@ova @@t
aspoň	aspoň
astmaticky	astm @@at @@ic @@k @@y
astronomické	astro @@nom @@ic @@k @@é
astrophytum	astrophytum
asymptoticky	a @@symptot @@ic @@k @@y
atakovat	atak @@ova @@t
atamanem	ataman @@em
ataraxie	atarax @@i @@e
atd	atd
atentáty	atent @@át @@y
atestovat	a @@test @@ova @@t
atlet	atlet
atmosférou	atm @@o @@sfér @@ou
atom	atom
atomizovat	atom @@iz @@ova @@t
atomizovávatelnost	atom @@izová @@v @@a @@teln @@ost
atomů	atom @@ů
atraktivním	a @@trakt @@iv @@n @@ím
atrofovat	a @@trof @@ova @@t
atvánův	atván @@ův
au	au
audiopáska	audio @@pás @@k @@a
auditu	audit @@u
aurea	aure @@a
aurore	aurore
auskultovat	auskult @@ova @@t
austrálie	austrál @@i @@e
aut	aut
auta	aut @@a
autem	aut @@em
autentického	autentic @@k @@ého
auto	auto
autobazar	aut @@o @@bazar
autobus	auto @@bus
autodopravu	aut @@o @@do @@prav @@u
autodíl	aut @@o @@díl
autogenního	auto @@gen @@n @@ího
autografovat	auto @@graf @@ova @@t
autokritika	auto @@krit @@ik @@a
automasáží	auto @@mas @@áž @@í
automatická	auto @@mat @@ic @@k @@á
automatické	auto @@mat @@ic @@k @@é
automatického	auto @@mat @@ic @@k @@ého
automatický	auto @@mat @@ick @@ý
automatickým	auto @@mat @@ic @@k @@ým
automatizovat	auto @@mat @@iz @@ova @@t
automobil	auto @@mobil
automobilem	auto @@mobil @@em
automobilizovat	aut @@o @@mobil @@iz @@ova @@t
automobilky	auto @@mobil @@k @@y
automobilu	auto @@mobil @@u
automobily	auto @@mobil @@y
automobilů	auto @@mobil @@ů
autonomii	auto @@nom @@i @@i
autor	aut @@or
autoritativní	aut @@or @@it @@at @@iv @@n @@í
autority	aut @@or @@it @@y
autoritě	aut @@or @@it @@ě
autorizovat	aut @@or @@iz @@ova @@t
autorského	autor @@sk @@ého
autorů	autor @@ů
autostop	aut @@o @@stop
autostopem	aut @@o @@stop @@em
autě	aut @@ě
avenariem	avenari @@em
avenarius	avenari @@us
avizován	aviz @@ová @@n
avokádo	avokád @@o
axiom	axiom
ač	ač
ačkoli	ač @@koli
ať	ať
až	až
ba	ba
babičce	bab @@ičc @@e
babička	bab @@ičk @@a
babičko	bab @@ičk @@o
babičkou	bab @@ičk @@ou
babičku	bab @@ičk @@u
babiččina	bab @@ičč @@in @@a
babiččinu	bab @@ičč @@in @@u
babiččiny	bab @@ičč @@in @@y
babo	bab @@o
babralův	babr @@a @@l @@ův
babrat	babr @@a @@t
bacat	bac @@a @@t
bacco	bacco
bachořit	bachoř @@i @@t
bachratit	bachr @@at @@i @@t
bacit	bac @@i @@t
baconovi	bacon @@ovi
badenský	baden @@sk @@ý
badenští	baden @@št @@í
badání	bad @@á @@n @@í
badáním	bad @@á @@n @@ím
bafat	baf @@a @@t
bafčit	baf @@č @@i @@t
bagatelizovat	bagatel @@iz @@ova @@t
bagovat	bag @@ova @@t
bahna	bahn @@a
bahnit	bahn @@i @@t
bahniště	bahn @@išt @@ě
bahnišť	bahn @@išť
bahno	bahn @@o
bahnět	bahn @@ě @@t
bajonety	bajonet @@y
bakalářského	bakalář @@sk @@ého
bakalářský	bakalář @@sk @@ý
bakaná	bakan @@á
bakchickost	bakch @@ic @@k @@ost
balabán	balabán
balabánovi	balabán @@ovi
balalajka	balalajk @@a
balamutit	balamut @@i @@t
balancovat	balanc @@ova @@t
baldurbudur	baldurbudur
baldurbuduřiny	baldurbuduř @@in @@y
balgarův	balgar @@ův
balit	bal @@i @@t
balkony	balkon @@y
balkón	balkón
balzamovat	balzam @@ova @@t
balík	bal @@ík
balíkovost	bal @@ík @@ov @@ost
balíku	bal @@ík @@u
balíček	bal @@íč @@ek
banda	band @@a
bandinelliho	bandinelli @@ho
bandita	bandit @@a
bandito	band @@it @@o
bando	band @@o
bandážovat	band @@áž @@ova @@t
bandža	bandž @@a
bank	bank
banka	bank @@a
bankami	bank @@ami
bankou	bank @@ou
bankovka	bank @@ovk @@a
bankovky	bank @@ov @@k @@y
bankovního	bank @@ovn @@ího
bankrotech	bank @@rot @@ech
bankrotu	bank @@rot @@u
bankroty	bank @@rot @@y
bankrotů	bank @@rot @@ů
banku	bank @@u
bankách	bank @@ách
banální	banál @@n @@í
banálními	banál @@n @@ími
baret	baret
barikádovat	barik @@ád @@ova @@t
bariéru	bariér @@u
barnabáš	barnabáš
baron	baron
barona	baron @@a
bartoch	bartoch
bartošek	bartošek
bartoškovi	bartošk @@ovi
barva	barv @@a
barvami	barv @@ami
barvený	barv @@en @@ý
barvili	barv @@i @@l @@i
barvit	barv @@i @@t
barvivy	barv @@iv @@y
barvocit	barv @@o @@cit
barvu	barv @@u
barvách	barv @@ách
barvě	barv @@ě
baryna	baryn @@a
barynu	baryn @@u
barzoj	barzoj
barákama	barák @@ama
baráku	barák @@u
bas	bas
basa	bas @@a
basovat	bas @@ova @@t
basově	bas @@ov @@ě
basta	basta
bastardní	bastard @@n @@í
baterie	bateri @@e
baterka	bater @@k @@a
baterkou	bater @@k @@ou
batikovat	batik @@ova @@t
batikový	batik @@ov @@ý
batolit	batol @@i @@t
batňovic	batňovic
bavil	bav @@i @@l
bavorsku	bavor @@sk @@u
bavsa	bavs @@a
bavím	bav @@í @@m
bavíme	bav @@í @@me
bawden	bawden
bazénu	bazén @@u
bazírovat	baz @@ír @@ova @@t
bačkora	bačkor @@a
baštit	bašt @@i @@t
bažina	bažin @@a
bažinou	bažin @@ou
bažit	baž @@i @@t
bdít	bd @@í @@t
bednit	bedn @@i @@t
bednu	bedn @@u
beduín	beduín
bedýnce	bedýn @@c @@e
bedýnka	bedýn @@k @@a
bejval	bej @@v @@a @@l
bejvala	bej @@v @@a @@l @@a
bejvá	bej @@v @@á
bekat	bek @@a @@t
bekem	bekem
belcantovost	bel @@cant @@ov @@ost
belgii	belgi @@i
belhala	belh @@a @@l @@a
belhat	belh @@a @@t
beliefs	beliefs
benaresu	benares @@u
bendit	bend @@i @@t
benediktýny	benedikt @@ýn @@y
benediktýnů	benedikt @@ýn @@ů
beneščin	beneš @@č @@in
benthama	bentham @@a
benthamovi	bentham @@ovi
benzina	benzin @@a
benzinu	benzin @@u
benziny	benzin @@y
benzylchorid	benz @@yl @@chor @@id
benzín	benzín
benzínu	benzín @@u
benzíny	benzín @@y
benzínů	benzín @@ů
ber	ber
beran	beran
beranici	beran @@ic @@i
beranit	beran @@i @@t
bere	ber @@e
berehovsky	bereh @@ov @@sk @@y
bergamo	bergam @@o
bergson	bergson
bergsonova	bergson @@ov @@a
berhof	berhof
berlínského	berlín @@sk @@ého
berlínský	berlín @@sk @@ý
berthelota	berthelot @@a
besedovat	besed @@ova @@t
besedy	besed @@y
besedě	besed @@ě
besemerovací	besemer @@ova @@c @@í
besemerovat	besemer @@ova @@t
beso	beso
bestie	best @@i @@e
betonovat	beton @@ova @@t
bez	bez
bezbožnost	bez @@bož @@n @@ost
bezbranné	bez @@bran @@n @@é
bezcennou	bez @@cen @@n @@ou
bezcenné	bez @@cen @@n @@é
bezchybně	bez @@chyb @@n @@ě
bezdůvodná	bez @@dů @@vod @@n @@á
bezdůvodný	bez @@dů @@vod @@n @@ý
bezfreonový	bez @@freon @@ov @@ý
bezhříšnost	bez @@hříš @@n @@ost
bezkrevné	bez @@krev @@n @@é
bezkrevný	bez @@krev @@n @@ý
bezmeznou	bez @@mez @@n @@ou
bezmoc	bez @@moc
beznadějnějšího	bez @@na @@děj @@n @@ějš @@ího
beznoskův	bez @@nos @@k @@ův
bezohledná	bez @@o @@hled @@n @@á
bezohledný	bez @@o @@hled @@n @@ý
bezohledně	bez @@o @@hled @@n @@ě
bezolovnatého	bez @@olov @@nat @@ého
bezpečit	bezpeč @@i @@t
bezpečný	bezpeč @@n @@ý
bezpochyby	bez @@po @@chyb @@y
bezpodmínečna	bez @@pod @@mín @@eč @@n @@a
bezpodmínečnou	bez @@pod @@mín @@eč @@n @@ou
bezpočtukrát	bez @@po @@čt @@u @@krát
bezprostředním	bez @@pro @@střed @@n @@ím
bezprostředně	bez @@pro @@střed @@n @@ě
bezpředmětný	bez @@před @@mět @@n @@ý
bezpředpokladová	bez @@před @@po @@klad @@ov @@á
bezradně	bez @@rad @@n @@ě
beztoho	bez @@t @@oho
beztvaré	bez @@tvar @@é
bezvadných	bez @@vad @@n @@ých
bezvýsledně	bez @@vý @@sled @@n @@ě
bezvýznamné	bez @@vý @@znam @@n @@é
bezvěrecký	bez @@věr @@ec @@k @@ý
bečce	beč @@c @@e
bečet	beč @@e @@t
biagio	biagio
bible	bibl @@e
bibliotékách	bibl @@io @@ték @@ách
biedermeierový	biedermeier @@ov @@ý
biflovat	bifl @@ova @@t
bigbítový	big @@bít @@ov @@ý
bijí	bi @@j @@í
bikiny	bikin @@y
bilabiála	bi @@lab @@iál @@a
bilance	bilanc @@e
bilancovat	bilanc @@ova @@t
bilančního	bilanč @@n @@ího
bimbala	bimb @@a @@l @@a
binarův	binar @@ův
bioblouznivec	bio @@blouz @@n @@iv @@ec
biochemickou	bio @@chem @@ick @@ou
biologický	bio @@log @@ic @@k @@ý
biosad	bio @@sad
biosložka	bio @@s @@lož @@k @@a
bivakovat	bivak @@ova @@t
bičem	bič @@em
bičovali	bič @@ova @@l @@i
biřmovat	biřm @@ova @@t
blafat	blaf @@a @@t
blafnout	blaf @@nou @@t
blahem	blah @@em
blahodárným	blah @@o @@dár @@n @@ým
blahopřáli	blah @@o @@př @@á @@l @@i
blahopřát	blah @@o @@přá @@t
blamovat	blam @@ova @@t
blažeková	blaž @@ek @@ov @@á
blaženě	blaž @@e @@n @@ě
blažit	blaž @@i @@t
blbnout	blb @@nou @@t
blechu	blech @@u
bledou	bled @@ou
bledá	bled @@á
bledý	bled @@ý
bledých	bled @@ých
blekotat	blek @@ot @@a @@t
bleptat	blept @@a @@t
blesknout	blesk @@nou @@t
blesku	blesk @@u
blikanec	blik @@a @@nec
blikat	blik @@a @@t
bliknout	blik @@nou @@t
blinkat	bli @@nk @@a @@t
blizoučko	bliz @@ouč @@k @@o
bližních	bliž @@n @@ích
bližního	bliž @@n @@ího
blog	blog
blok	blok
blokovat	blok @@ova @@t
blokovou	blok @@ov @@ou
blokovány	blok @@ová @@n @@y
bloky	blok @@y
bloků	blok @@ů
blonďatý	blonď @@at @@ý
bloud	bloud
blouda	bloud @@a
bloudila	bloud @@i @@l @@a
bloudit	bloud @@i @@t
blouznil	blouzn @@i @@l
blouznit	blouzn @@i @@t
blouznívaný	blouzn @@í @@v @@a @@n @@ý
bludišti	blud @@išt @@i
bludiště	blud @@iště
bludům	blud @@ům
blyštět	blyšt @@ě @@t
blábolit	blábol @@i @@t
blábolíš	blábol @@í @@š
blátem	blát @@em
bláto	blát @@o
blázen	blázen
bláznit	blázn @@i @@t
bláznivá	blázn @@iv @@á
bláznivé	blázn @@iv @@é
bláznivého	blázn @@iv @@ého
bláznivý	blázn @@iv @@ý
bláznovství	blázn @@ovstv @@í
bláznům	blázn @@ům
blázínek	blázín @@ek
blít	blí @@t
blízko	blíz @@k @@o
blízkých	blíz @@k @@ých
blíže	blíže
blížil	blíž @@i @@l
blížit	blíž @@i @@t
blíží	blíž @@í
blížím	blíž @@í @@m
blížíme	blíž @@í @@me
blýskat	blýsk @@a @@t
blýsknout	blýsk @@nou @@t
bobek	bob @@ek
bobeček	bob @@eček
bobečka	bob @@eč @@k @@a
bobečku	bob @@eč @@k @@u
bobrava	bobrav @@a
bobtnat	bobtn @@a @@t
bochník	boch @@ník
bochníku	bochník @@u
bod	bod
bodat	bod @@a @@t
bodem	bod @@em
bodiny	bod @@in @@y
bodnout	bod @@nou @@t
bodovat	bod @@ova @@t
bodů	bod @@ů
bohatnout	boh @@at @@nou @@t
bohatství	boh @@at @@stv @@í
bohatá	boh @@at @@á
bohaté	boh @@at @@é
bohatého	boh @@at @@ého
bohatému	boh @@at @@ému
bohatý	boh @@at @@ý
bohatých	boh @@at @@ých
bohatě	boh @@at @@ě
bohatět	boh @@at @@ě @@t
bohatší	boh @@at @@š @@í
bohatšího	boh @@at @@š @@ího
bohem	boh @@em
bohemia	bohem @@i @@a
bohu	boh @@u
bohudík	boh @@u @@dík
bohulibě	boh @@u @@lib @@ě
bohuslav	bohu @@slav
bohužel	boh @@u @@žel
bohyně	boh @@yně
bohů	boh @@ů
boj	boj
boje	boj @@e
boji	boj @@i
bojkotovat	bojkot @@ova @@t
bojovat	boj @@ova @@t
bojí	boj @@í
bojích	boj @@ích
bojím	bo @@j @@í @@m
bojíme	bo @@j @@í @@me
bojíš	bo @@j @@í @@š
bokatět	bok @@at @@ě @@t
bolelo	bol @@e @@l @@o
bolení	bol @@e @@n @@í
bolest	bol @@est
bolesti	bol @@est @@i
bolestné	bol @@est @@n @@é
bolestí	bol @@est @@í
bolet	bol @@e @@t
bolnému	bol @@n @@ému
bolný	bol @@n @@ý
bolívie	bolív @@i @@e
bolívii	bolív @@i @@i
bomba	bomb @@a
bombardovat	bombard @@ova @@t
bombast	bombast
bonifikovat	boni @@fik @@ova @@t
bor	bor
bordwell	bordwell
borek	bor @@ek
borka	bor @@k @@a
borku	bor @@k @@u
borovice	bor @@ov @@ic @@e
borovici	bor @@ov @@ic @@i
bortit	bort @@i @@t
bosa	bos @@a
botanizovat	botan @@iz @@ova @@t
bouchat	bouch @@a @@t
bouchnout	bouch @@nou @@t
boudou	boud @@ou
boudreaua	boudreau @@a
boudu	boud @@u
boudy	boud @@y
boudě	boud @@ě
boukat	bouk @@a @@t
boulit	boul @@i @@t
bourou	bour @@ou
boutroux	boutroux
boutrouxovou	boutroux @@ov @@ou
bouři	bouř @@i
bouřit	bouř @@i @@t
boxerku	box @@er @@k @@u
boxovat	box @@ova @@t
bořit	boř @@i @@t
bořivá	boř @@iv @@á
bošňák	bošň @@ák
božanovský	božanov @@sk @@ý
bože	bož @@e
božského	bož @@sk @@ého
božském	bož @@sk @@ém
božský	bož @@sk @@ý
božstvo	bož @@stv @@o
božství	bož @@stv @@í
boží	bož @@í
božího	bož @@ího
božím	bož @@í @@m
brachu	brach @@u
bradleyův	bradley @@ův
bradou	brad @@ou
bradu	brad @@u
brajgl	brajgl
brakovat	brak @@ova @@t
brala	br @@a @@l @@a
brambor	brambor
brambora	brambor @@a
bran	bran
branka	bran @@k @@a
brankář	bran @@k @@ář
bransouze	bransouz @@e
bratr	bratr
bratranec	bratr @@anec
bratry	bratr @@y
bratřeně	bratř @@en @@ě
bratři	bratř @@i
bratřit	bratř @@i @@t
bratříčkovat	bratř @@íčk @@ova @@t
brazolety	brazolet @@y
brašnář	brašn @@ář
brašnáře	brašn @@ář @@e
brblat	brbl @@a @@t
brdečko	brd @@ečk @@o
brebentit	brebent @@i @@t
brebentí	brebent @@í
breberka	breber @@k @@a
brebtat	brebt @@a @@t
brejle	brejl @@e
brejlit	brejl @@i @@t
brejliček	brejl @@iček
brejličky	brejl @@ičk @@y
breku	brek @@u
brend	brend
brendy	brend @@y
brendách	brend @@ách
breptal	brept @@a @@l
breptat	brept @@a @@t
brečeli	breč @@e @@l @@i
brečet	breč @@e @@t
briggs	briggs
briketovat	briket @@ova @@t
bristol	bristol
british	british
britský	brit @@sk @@ý
británii	brit @@án @@i @@i
britští	brit @@št @@í
brka	brk @@a
brknout	brk @@nou @@t
brků	brk @@ů
brna	brn @@a
brnkat	brn @@k @@a @@t
brnknout	brn @@k @@nou @@t
brno	brn @@o
brně	brn @@ě
brnět	brn @@ě @@t
brodech	brod @@ech
brodivost	brod @@iv @@ost
brodu	brod @@u
brodí	brod @@í
brojit	broj @@i @@t
broktáem	broktá @@em
brokát	brokát
brouk	brouk
broukat	brouk @@a @@t
brouky	brouk @@y
brouká	brouk @@á
brouků	brouk @@ů
broumova	broumov @@a
broumovský	broumov @@sk @@ý
broumovským	broumov @@sk @@ým
broumově	broumov @@ě
brousit	brous @@i @@t
brousívatelnost	brous @@í @@v @@a @@teln @@ost
brouzdat	brouzd @@a @@t
brožovat	brož @@ova @@t
brožura	brožur @@a
brr	brr
brrr	brrr
brtnicky	brtn @@ic @@k @@y
brunátnit	brunát @@n @@i @@t
bruslit	brusl @@i @@t
bruče	bruč @@e
bručel	bruč @@e @@l
bručeli	bruč @@e @@l @@i
bručet	bruč @@e @@t
bručí	bruč @@í
brvou	brv @@ou
bryndat	brynd @@a @@t
bryčkou	bryč @@k @@ou
brzdit	brzd @@i @@t
brzdy	brzd @@y
brzký	brz @@k @@ý
brzo	brz @@o
brzy	brzy
brácha	brách @@a
brácho	brách @@o
bráchův	brách @@ův
brána	brán @@a
bránila	brán @@i @@l @@a
bránit	brán @@i @@t
brát	br @@á @@t
bráti	br @@á @@ti
brázdil	brázd @@i @@l
brázdit	brázd @@i @@t
brízově	bríz @@ov @@ě
brý	brý
brýle	brýl @@e
brýlemi	brýl @@emi
bubble	bubble
buben	buben
bublat	bubl @@a @@t
bublá	bubl @@á
bubnech	bubn @@ech
bubnovat	bubn @@ova @@t
bubny	bubn @@y
bububu	bu @@bu @@bu
bubřet	bubř @@e @@t
buchary	buchar @@y
buchcovat	buch @@c @@ova @@t
buchnout	buch @@nou @@t
buclatět	bucl @@at @@ě @@t
buda	buda
bude	bud @@e
budeme	bud @@e @@me
budete	bud @@e @@te
budečské	budeč @@sk @@é
budeš	bud @@e @@š
budit	bud @@i @@t
budiáf	budiáf
budiž	bud @@iž
budižkničemu	bud @@iž @@k @@ni @@č @@emu
budka	bud @@k @@a
budkám	bud @@k @@ám
budou	bud @@ou
budoucnost	bud @@ou @@c @@n @@ost
budoucně	bud @@ou @@c @@n @@ě
budoucích	bud @@ouc @@ích
budoucího	bud @@ou @@c @@ího
budovat	bud @@ova @@t
buduje	bud @@uje
budí	bud @@í
budíte	bud @@í @@te
budějovický	buděj @@ov @@ic @@k @@ý
budějovicích	budějovic @@ích
buffina	buffin @@a
buffino	buffin @@o
buffinovi	buffin @@ovi
buffno	buffn @@o
buffo	buffo
bujet	buj @@e @@t
bujnosti	buj @@n @@ost @@i
bujní	buj @@n @@í
bujný	buj @@n @@ý
bujně	buj @@n @@ě
bujnět	buj @@n @@ě @@t
bukurešti	bukurešt @@i
bulteriér	bul @@teriér
bulteriéry	bul @@teriér @@y
bulíkovat	bul @@ík @@ova @@t
bumbat	bumb @@a @@t
bums	bums
